itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.008226001635193825,-0.4571554660797119,2.412435293197632,-0.8965739011764526,0.7490586042404175,161.35281372070312,156.72552490234375,187.095703125
1,0.026335617527365685,-0.48446375131607056,2.3922035694122314,-0.9215194582939148,0.7395830154418945,161.9387969970703,156.92315673828125,187.48350524902344
2,0.02637120708823204,-0.5316713452339172,2.361396312713623,-0.9588063359260559,0.7219218611717224,162.94204711914062,157.23519897460938,188.04188537597656
3,0.027414990589022636,-0.5903566479682922,2.3076486587524414,-1.0145436525344849,0.6941342949867249,164.52610778808594,157.5879364013672,188.63934326171875
4,0.026482850313186646,-0.6279805302619934,2.2494726181030273,-1.0716743469238281,0.6640565991401672,166.41766357421875,157.97079467773438,189.2134552001953
5,0.02524494379758835,-0.6481029391288757,2.191495180130005,-1.1249091625213623,0.6346791982650757,168.58999633789062,158.37533569335938,189.70953369140625
6,0.02525053545832634,-0.6531240344047546,2.1369376182556152,-1.1708825826644897,0.6080653071403503,170.84298706054688,158.738037109375,190.1077880859375
7,0.024835988879203796,-0.6526192426681519,2.0873725414276123,-1.206567406654358,0.584984540939331,173.120361328125,159.08261108398438,190.4151153564453
8,0.026479611173272133,-0.6505737900733948,2.042686700820923,-1.2323691844940186,0.5640111565589905,175.37789916992188,159.43856811523438,190.64198303222656
9,0.0233799796551466,-0.6446202993392944,1.9951671361923218,-1.2541555166244507,0.5366864204406738,177.56576538085938,159.64971923828125,190.8050537109375
10,0.02437334880232811,-0.640194833278656,1.9540343284606934,-1.268002986907959,0.5132431387901306,179.6288604736328,159.90455627441406,190.9122314453125
11,0.023716144263744354,-0.6364307403564453,1.917242169380188,-1.2736926078796387,0.49138888716697693,181.55140686035156,160.12713623046875,190.98394775390625
12,0.024180103093385696,-0.6331815719604492,1.8904330730438232,-1.2720236778259277,0.47686567902565,183.30079650878906,160.3922576904297,191.0155487060547
13,0.023466255515813828,-0.6311303377151489,1.8713175058364868,-1.2629764080047607,0.46737733483314514,184.87107849121094,160.67575073242188,191.00926208496094
14,0.024160675704479218,-0.6318119168281555,1.860717535018921,-1.243148922920227,0.46404585242271423,186.23602294921875,161.05709838867188,190.96380615234375
15,0.02495678886771202,-0.6348490118980408,1.8556861877441406,-1.2188211679458618,0.4642315208911896,187.41783142089844,161.49058532714844,190.88015747070312
16,0.023765575140714645,-0.6431744694709778,1.8608182668685913,-1.1845264434814453,0.47257286310195923,188.38392639160156,161.97293090820312,190.76821899414062
17,0.024244146421551704,-0.6535123586654663,1.874287724494934,-1.1464403867721558,0.4870412051677704,189.14889526367188,162.45492553710938,190.62542724609375
18,0.02438308112323284,-0.6659646034240723,1.8955307006835938,-1.1112191677093506,0.5057587027549744,189.72097778320312,163.03384399414062,190.43954467773438
19,0.0247341338545084,-0.6824991106987,1.9243998527526855,-1.0700342655181885,0.5282453298568726,190.095458984375,163.62564086914062,190.21371459960938
20,0.026177138090133667,-0.6994911432266235,1.9567279815673828,-1.019639253616333,0.5505183339118958,190.2686767578125,164.14230346679688,189.93484497070312
21,0.024974554777145386,-0.7094835638999939,1.9941028356552124,-0.9678997993469238,0.5743762254714966,190.22938537597656,164.6593780517578,189.62091064453125
22,0.02573489025235176,-0.7167078852653503,2.032123565673828,-0.9210184216499329,0.595607340335846,190.0783233642578,165.16497802734375,189.23861694335938
23,0.026223143562674522,-0.719018816947937,2.0711376667022705,-0.8784734010696411,0.61463463306427,189.81430053710938,165.69979858398438,188.80665588378906
24,0.02642015740275383,-0.7086911797523499,2.1083035469055176,-0.8465961813926697,0.6291388869285583,189.45372009277344,166.27708435058594,188.43101501464844
25,0.0271061509847641,-0.7069592475891113,2.1455352306365967,-0.8386770486831665,0.637485146522522,188.98440551757812,166.88186645507812,188.20278930664062
26,0.027237124741077423,-0.7189043760299683,2.184150457382202,-0.8544225692749023,0.6407323479652405,188.4479522705078,167.47262573242188,188.16957092285156
27,0.026284588500857353,-0.7287678122520447,2.2201993465423584,-0.8801378011703491,0.6356279253959656,187.86773681640625,168.06097412109375,188.27804565429688
28,0.026702379807829857,-0.7347637414932251,2.2545177936553955,-0.9122179746627808,0.624410092830658,187.3524932861328,168.6014862060547,188.423095703125
29,0.026374803856015205,-0.7358884215354919,2.2831673622131348,-0.9458001852035522,0.6072292327880859,186.9359893798828,169.13082885742188,188.5316162109375
30,0.026202231645584106,-0.7343442440032959,2.307363986968994,-0.974983811378479,0.5871086120605469,186.61878967285156,169.60523986816406,188.58529663085938
31,0.026361916214227676,-0.7332185506820679,2.3282222747802734,-0.9985824823379517,0.5660345554351807,186.408203125,170.04383850097656,188.56539916992188
32,0.027935678139328957,-0.7322108149528503,2.3458402156829834,-1.0173581838607788,0.5440961718559265,186.3055419921875,170.42588806152344,188.48745727539062
33,0.026250453665852547,-0.7314111590385437,2.362476110458374,-1.030246376991272,0.5237123370170593,186.30482482910156,170.75509643554688,188.35694885253906
34,0.02558998391032219,-0.7311749458312988,2.377053737640381,-1.0373667478561401,0.5034839510917664,186.4008026123047,171.0254364013672,188.1820526123047
35,0.025497861206531525,-0.7316665649414062,2.388502597808838,-1.0395967960357666,0.4828714430332184,186.57525634765625,171.26663208007812,187.96986389160156
36,0.025551222264766693,-0.7329947352409363,2.3989126682281494,-1.035463809967041,0.46397048234939575,186.83262634277344,171.5013885498047,187.7317657470703
37,0.025696080178022385,-0.7354777455329895,2.4098594188690186,-1.0242090225219727,0.4483015537261963,187.13479614257812,171.7299041748047,187.47640991210938
38,0.025660648941993713,-0.7388831377029419,2.4216525554656982,-1.0071662664413452,0.43520858883857727,187.54795837402344,171.927734375,187.21258544921875
39,0.025862950831651688,-0.7427984476089478,2.4281954765319824,-0.9848193526268005,0.4181409478187561,188.01373291015625,172.07701110839844,186.94839477539062
