itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.02909841388463974,163.04559326171875,-0.39731037616729736,156.7353973388672,174.97608947753906,180.7501983642578,2.936319589614868,-0.6930588483810425,1.662365198135376
2,0.028614142909646034,156.13182067871094,-0.4369611144065857,156.70042419433594,175.29335021972656,181.52224731445312,2.9401447772979736,-0.6205450296401978,1.675201416015625
3,0.02991742640733719,143.98593139648438,-0.495140016078949,156.70941162109375,175.7432403564453,182.45947265625,2.950144052505493,-0.5271893739700317,1.6920199394226074
4,0.02902739681303501,128.14340209960938,-0.5694904923439026,156.7785186767578,176.34959411621094,183.44654846191406,2.965909242630005,-0.410770982503891,1.712079405784607
5,0.030432717874646187,109.07601928710938,-0.666415274143219,156.9374237060547,177.09506225585938,184.41531372070312,2.9862518310546875,-0.27575644850730896,1.7342422008514404
6,0.028373708948493004,89.50861358642578,-0.7481284141540527,157.2790985107422,177.92381286621094,185.29049682617188,3.010714530944824,-0.13689902424812317,1.7448596954345703
7,0.029717721045017242,74.59524536132812,-0.7865768074989319,157.8333282470703,178.82765197753906,185.99583435058594,3.039064884185791,-0.0069053624756634235,1.7352917194366455
8,0.028209449723362923,67.37378692626953,-0.7931427359580994,158.5159454345703,179.87335205078125,186.4226531982422,3.073533296585083,0.10316633433103561,1.6974468231201172
9,0.029295511543750763,65.0003433227539,-0.7962100505828857,159.30397033691406,181.08880615234375,186.5489501953125,3.115344524383545,0.18752339482307434,1.6362781524658203
10,0.02778826281428337,65.23857116699219,-0.8045775294303894,160.13153076171875,182.3248748779297,186.37351989746094,3.1564884185791016,0.24460619688034058,1.5644067525863647
11,0.028728455305099487,69.0235366821289,-0.7969922423362732,160.95960998535156,183.3804931640625,185.9190216064453,3.1922717094421387,0.27529188990592957,1.497537612915039
12,0.028529584407806396,74.91889190673828,-0.7764139175415039,161.81004333496094,184.1619873046875,185.24620056152344,3.2201597690582275,0.2855594754219055,1.445277452468872
13,0.029005715623497963,80.20498657226562,-0.7554457783699036,162.69801330566406,184.617919921875,184.37716674804688,3.2390832901000977,0.27934905886650085,1.4125133752822876
14,0.030305679887533188,82.63506317138672,-0.7462581992149353,163.6256103515625,184.784912109375,183.3494873046875,3.251948833465576,0.25966981053352356,1.3983185291290283
15,0.02821563556790352,81.8372802734375,-0.7501499056816101,164.60218811035156,184.7035369873047,182.18836975097656,3.2588281631469727,0.22942782938480377,1.4042710065841675
16,0.029053151607513428,77.52630615234375,-0.768104076385498,165.6299285888672,184.3367156982422,180.908447265625,3.2582571506500244,0.1890818476676941,1.4309303760528564
17,0.03027554601430893,69.27128601074219,-0.8024117946624756,166.6999053955078,183.7318878173828,179.5400848388672,3.2510123252868652,0.13922785222530365,1.476936936378479
18,0.028268922120332718,57.52888488769531,-0.8510155081748962,167.8182830810547,182.93130493164062,178.0904083251953,3.2383880615234375,0.08069277554750443,1.5359532833099365
19,0.028420312330126762,43.4940185546875,-0.9049875736236572,169.00924682617188,182.0264892578125,176.58006286621094,3.2196097373962402,0.015506124123930931,1.5992387533187866
20,0.02830360271036625,28.57473373413086,-0.937614917755127,170.2980194091797,181.11529541015625,175.044921875,3.1967709064483643,-0.047666143625974655,1.650870442390442
21,0.028940284624695778,18.326622009277344,-0.9310645461082458,171.6829376220703,180.2957305908203,173.56715393066406,3.1734061241149902,-0.0990554541349411,1.6767770051956177
22,0.029863795265555382,21.843040466308594,-0.9147650003433228,173.14710998535156,179.61508178710938,172.20791625976562,3.1505703926086426,-0.13346949219703674,1.6748369932174683
23,0.028950149193406105,26.33196258544922,-0.9104219675064087,174.6730194091797,179.03369140625,171.0003662109375,3.1282966136932373,-0.14880932867527008,1.6531256437301636
24,0.02852124720811844,29.368181228637695,-0.9172539710998535,176.21266174316406,178.62657165527344,169.95350646972656,3.1105754375457764,-0.14137239754199982,1.6190115213394165
25,0.028998320922255516,29.524229049682617,-0.9315261244773865,177.73617553710938,178.4031524658203,169.06985473632812,3.100296974182129,-0.11036615073680878,1.583362102508545
26,0.028546206653118134,25.708003997802734,-0.9530442953109741,179.2360076904297,178.38601684570312,168.31918334960938,3.098449945449829,-0.059839725494384766,1.5511497259140015
27,0.027974657714366913,18.054933547973633,-0.9751335978507996,180.69540405273438,178.55136108398438,167.65887451171875,3.105560302734375,0.001145698013715446,1.5319395065307617
28,0.02846088819205761,7.959505081176758,-0.9845382571220398,181.99163818359375,178.85569763183594,167.0350799560547,3.117957592010498,0.057382747530937195,1.5311094522476196
