itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.031805770471692085,172.24327087402344,-0.47197332978248596,198.5842742919922,174.39926147460938,153.84410095214844,2.3957624435424805,-0.33034104108810425,1.3911234140396118
2,0.03362307325005531,165.2525634765625,-0.5046306252479553,197.8633270263672,174.52951049804688,154.56005859375,2.402710437774658,-0.26594075560569763,1.3966777324676514
3,0.032263197004795074,154.40103149414062,-0.5510026216506958,197.0315399169922,174.71481323242188,155.53622436523438,2.407543420791626,-0.18852563202381134,1.410203456878662
4,0.031693944707512856,142.9268035888672,-0.6090868711471558,196.2845916748047,175.0534210205078,156.6954345703125,2.414956569671631,-0.09160400182008743,1.4391528367996216
5,0.031713416799902916,131.52734375,-0.6764708757400513,195.9575653076172,175.70779418945312,158.0631866455078,2.41890811920166,0.009466741234064102,1.4886380434036255
6,0.030787967145442963,126.06564331054688,-0.7516833543777466,195.7763214111328,176.77145385742188,159.53726196289062,2.421360731124878,0.12493764609098434,1.5482641458511353
7,0.032091474160552025,127.1780014038086,-0.8166736364364624,195.65635681152344,178.05911254882812,161.0199737548828,2.425936222076416,0.23806039988994598,1.6028785705566406
8,0.03227992355823517,133.90245056152344,-0.8182708621025085,195.56256103515625,179.41717529296875,162.44451904296875,2.4297096729278564,0.3267640173435211,1.6428014039993286
9,0.03137482330203056,142.34371948242188,-0.7775660157203674,195.2368927001953,180.77940368652344,163.6458282470703,2.435774087905884,0.38917285203933716,1.6645331382751465
10,0.03213259391486645,148.08407592773438,-0.7400261759757996,194.4353790283203,182.1773681640625,164.60194396972656,2.4590134620666504,0.4107436239719391,1.6690977811813354
11,0.0313342809677124,146.09805297851562,-0.7366595268249512,193.26783752441406,183.52304077148438,165.2858123779297,2.489755392074585,0.40439680218696594,1.6592192649841309
12,0.03088083118200302,138.57644653320312,-0.7531368136405945,191.83006286621094,184.80441284179688,165.79962158203125,2.5228047370910645,0.3781142830848694,1.639623761177063
13,0.03206504508852959,127.65945434570312,-0.7758294939994812,190.36920166015625,186.00900268554688,166.12713623046875,2.55216383934021,0.3337392508983612,1.611356496810913
14,0.03272701986134052,115.01256561279297,-0.8069688081741333,188.92138671875,187.0911102294922,166.3467254638672,2.5799663066864014,0.27433159947395325,1.572849154472351
15,0.03168275207281113,100.92974090576172,-0.8407334685325623,187.5621795654297,188.0563507080078,166.5226287841797,2.6060073375701904,0.20659790933132172,1.5274404287338257
16,0.03312472254037857,87.51148223876953,-0.8697354197502136,186.34962463378906,188.87466430664062,166.7144317626953,2.6340763568878174,0.13661518692970276,1.4806456565856934
17,0.031555451452732086,76.63265991210938,-0.8803808093070984,185.29010009765625,189.56558227539062,166.98097229003906,2.6644837856292725,0.07531404495239258,1.4453030824661255
18,0.032304177060723305,70.52178955078125,-0.8651594519615173,184.3791961669922,190.15509033203125,167.286865234375,2.7001912593841553,0.031468845903873444,1.4290517568588257
19,0.03076299838721752,67.36619567871094,-0.8495364785194397,183.59115600585938,190.58778381347656,167.616943359375,2.7417168617248535,0.008849861100316048,1.4373316764831543
20,0.03228894993662834,64.33668518066406,-0.8529576063156128,182.92247009277344,190.8558349609375,167.97442626953125,2.7880446910858154,0.004493291024118662,1.468130111694336
21,0.029860088601708412,60.05864715576172,-0.8781048655509949,182.37277221679688,190.96124267578125,168.35745239257812,2.8384673595428467,0.012011945247650146,1.5157972574234009
22,0.030284123495221138,55.0396842956543,-0.9105464816093445,181.9188690185547,190.8463592529297,168.76995849609375,2.891850709915161,0.024770814925432205,1.5729097127914429
23,0.03119143657386303,50.70064926147461,-0.9303081631660461,181.5294952392578,190.45156860351562,169.1477813720703,2.9459598064422607,0.03532227873802185,1.6234309673309326
24,0.03044779971241951,47.23480987548828,-0.9313728213310242,181.12753295898438,189.77845764160156,169.47984313964844,2.998082160949707,0.04068511351943016,1.6566280126571655
25,0.030157864093780518,43.42709732055664,-0.9262097477912903,180.6785888671875,188.8839111328125,169.74447631835938,3.046687364578247,0.03883282095193863,1.666634202003479
26,0.030414747074246407,37.62310791015625,-0.9278534054756165,180.16552734375,187.7950439453125,169.9400177001953,3.090324878692627,0.028952034190297127,1.6535216569900513
27,0.03026098571717739,29.046337127685547,-0.9412474632263184,179.60057067871094,186.5158233642578,170.07508850097656,3.127321243286133,0.011821144260466099,1.6214936971664429
28,0.02954007498919964,17.992576599121094,-0.9618673324584961,179.0425567626953,185.00572204589844,170.12521362304688,3.1576271057128906,-0.009696419350802898,1.5794806480407715
29,0.029843421652913094,7.535000801086426,-0.9751461744308472,178.5492706298828,183.2214813232422,170.12953186035156,3.179211139678955,-0.029584938660264015,1.5431780815124512
30,0.02929227612912655,15.21158218383789,-0.9764366745948792,178.11488342285156,181.31358337402344,170.09597778320312,3.1934916973114014,-0.04382447525858879,1.525040864944458
31,0.029808377847075462,19.613590240478516,-0.9733067154884338,177.75595092773438,179.4282684326172,170.0311737060547,3.202133893966675,-0.05010449141263962,1.527356743812561
32,0.029992762953042984,20.36481475830078,-0.9750605225563049,177.5061798095703,177.7167205810547,169.91629028320312,3.2073028087615967,-0.048401422798633575,1.5473262071609497
33,0.029884731397032738,18.08405876159668,-0.979224681854248,177.37039184570312,176.31349182128906,169.7619171142578,3.2091593742370605,-0.03807533532381058,1.5743640661239624
34,0.0302964486181736,14.610980987548828,-0.9781685471534729,177.32997131347656,175.2977752685547,169.5489044189453,3.2081727981567383,-0.021520955488085747,1.5947943925857544
35,0.029798878356814384,13.560216903686523,-0.972575843334198,177.37074279785156,174.65858459472656,169.26905822753906,3.2052249908447266,-0.004200461320579052,1.6021935939788818
36,0.030548322945833206,15.235421180725098,-0.9674080014228821,177.46998596191406,174.4169921875,168.9364776611328,3.2015540599823,0.00852282252162695,1.593170166015625
37,0.03232892416417599,16.471433639526367,-0.9687150120735168,177.6045379638672,174.55064392089844,168.52613830566406,3.1980087757110596,0.015079624950885773,1.571894645690918
38,0.03156746178865433,16.999229431152344,-0.9745243191719055,177.76553344726562,175.0365447998047,168.06671142578125,3.1947147846221924,0.016697583720088005,1.5460618734359741
39,0.030565554276108742,17.88011360168457,-0.978377103805542,177.93923950195312,175.7455291748047,167.56741333007812,3.189979076385498,0.0168351698666811,1.5279574394226074
40,0.03139280155301094,18.262413024902344,-0.9780626893043518,178.1353302001953,176.5949249267578,167.0596923828125,3.1839003562927246,0.01589510217308998,1.526458501815796
41,0.029904881492257118,16.52261734008789,-0.9810029864311218,178.35667419433594,177.5226593017578,166.55587768554688,3.176595449447632,0.015064619481563568,1.5408557653427124
42,0.03218751214444637,12.651021957397461,-0.988951563835144,178.6053924560547,178.48922729492188,166.0693817138672,3.168290138244629,0.013709405437111855,1.566663384437561
43,0.029924845322966576,8.04319953918457,-0.9959590435028076,178.89952087402344,179.47036743164062,165.60931396484375,3.1583895683288574,0.0088040167465806,1.5901374816894531
44,0.030078958719968796,5.795955181121826,-0.994613528251648,179.21546936035156,180.4091339111328,165.19517517089844,3.147904872894287,0.0011623213067650795,1.5979281663894653
45,0.030086005106568336,5.53385066986084,-0.9929273128509521,179.53843688964844,181.2318115234375,164.85336303710938,3.1378214359283447,-0.006689121481031179,1.588861346244812
46,0.032041020691394806,4.996731281280518,-0.994866669178009,179.86744689941406,181.86000061035156,164.60784912109375,3.1282100677490234,-0.011556249111890793,1.5706242322921753
47,0.02975170686841011,6.013927936553955,-0.9941149950027466,180.18423461914062,182.2187042236328,164.46485900878906,3.119405508041382,-0.010807143524289131,1.5572726726531982
48,0.0320854876190424,7.682076930999756,-0.9906778931617737,180.45787048339844,182.3269500732422,164.4133758544922,3.11164927482605,-0.0037351101636886597,1.554938793182373
49,0.0297649335116148,7.752861976623535,-0.9902629852294922,180.6805877685547,182.22434997558594,164.44371032714844,3.106344699859619,0.006928828079253435,1.5633416175842285
50,0.02995271421968937,7.522039413452148,-0.9924899935722351,180.84658813476562,181.93153381347656,164.5345916748047,3.1038620471954346,0.016145147383213043,1.5757818222045898
51,0.0301285982131958,8.807960510253906,-0.9929562211036682,180.94436645507812,181.5072784423828,164.6701202392578,3.1044936180114746,0.02043522335588932,1.5845354795455933
52,0.030224017798900604,9.77653980255127,-0.9922853112220764,180.9738311767578,181.00787353515625,164.83245849609375,3.1078100204467773,0.018178902566432953,1.58457612991333
53,0.03006962314248085,8.905970573425293,-0.9935765266418457,180.9381866455078,180.49105834960938,165.0126953125,3.1141276359558105,0.010743924416601658,1.5761228799819946
54,0.031875502318143845,6.290678977966309,-0.9966450929641724,180.84463500976562,180.0124969482422,165.2143096923828,3.1232643127441406,0.0005931810010224581,1.5640126466751099
55,0.029677122831344604,3.8755745887756348,-0.9977923631668091,180.70115661621094,179.59303283691406,165.43260192871094,3.134526252746582,-0.00742188049480319,1.5582382678985596
56,0.029869014397263527,4.067915916442871,-0.9969687461853027,180.53172302246094,179.24732971191406,165.67010498046875,3.1462738513946533,-0.010535084642469883,1.5626890659332275
57,0.03209381178021431,3.782804012298584,-0.9977079629898071,180.3474884033203,179.0022735595703,165.9159698486328,3.156873941421509,-0.008375441655516624,1.5737898349761963
58,0.029691733419895172,2.844034194946289,-0.9980199933052063,180.14785766601562,178.89190673828125,166.14598083496094,3.1650564670562744,-0.003136423183605075,1.5805232524871826
59,0.03024648316204548,4.072732448577881,-0.996914803981781,179.94630432128906,178.89402770996094,166.3470916748047,3.16994571685791,0.0017631230875849724,1.578443169593811
60,0.032067375257611275,5.482204914093018,-0.9968682527542114,179.75555419921875,178.97488403320312,166.50857543945312,3.1708641052246094,0.0046215481124818325,1.5700531005859375
61,0.030337367206811905,6.335142135620117,-0.9975978136062622,179.58761596679688,179.1240997314453,166.6259765625,3.1678502559661865,0.0053809164091944695,1.5617012977600098
62,0.030432289466261864,6.535754680633545,-0.9974963665008545,179.4490509033203,179.30126953125,166.70431518554688,3.161660671234131,0.005008356180042028,1.5596774816513062
63,0.03183424659073353,5.677018165588379,-0.9976859092712402,179.34848022460938,179.4848175048828,166.74789428710938,3.153170585632324,0.0040709488093853,1.5653934478759766
64,0.029521025717258453,3.6401662826538086,-0.9988815188407898,179.2993621826172,179.682373046875,166.76084899902344,3.1438872814178467,0.0022615124471485615,1.574020504951477
65,0.03040986694395542,1.7520842552185059,-0.9991403222084045,179.30784606933594,179.91238403320312,166.74647521972656,3.1353259086608887,-0.0008076209342107177,1.57716703414917
66,0.030122775584459305,2.646369695663452,-0.9988332986831665,179.37106323242188,180.15528869628906,166.71359252929688,3.128960132598877,-0.0040092263370752335,1.5736140012741089
67,0.030303936451673508,3.423386335372925,-0.9990126490592957,179.48602294921875,180.38690185546875,166.67123413085938,3.1260464191436768,-0.00545082800090313,1.568374514579773
68,0.02984711155295372,3.7662582397460938,-0.9987331628799438,179.64173889160156,180.571044921875,166.62557983398438,3.1261682510375977,-0.003806520253419876,1.567101240158081
69,0.03211497701704502,3.510441303253174,-0.998714029788971,179.82069396972656,180.68113708496094,166.57899475097656,3.1285691261291504,-4.3841606384376064e-05,1.571016550064087
70,0.029524127021431923,2.9258382320404053,-0.9991894960403442,180.00558471679688,180.70872497558594,166.5311279296875,3.13234806060791,0.0033307643607258797,1.5753955841064453
71,0.03196108900010586,2.7314047813415527,-0.9990285038948059,180.17359924316406,180.65684509277344,166.47813415527344,3.1366753578186035,0.004269868601113558,1.5750796794891357
72,0.029923753812909126,2.171726703643799,-0.9990938305854797,180.30776977539062,180.52444458007812,166.42153930664062,3.1405882835388184,0.002515272004529834,1.5702568292617798
