# 2.604385085082717,-0.44242018623305945,1.7251016350704362,152.36538700211253,152.09741558001352,141.5950746751098
itr,loss,delt,detp,delg,delx,dely,delz
0,-0.28713861107826233,-0.5372075685070761,-0.44242018623305945,0.15430530827553968,-27.63461299788747,-27.90258441998649,-24.654925324890193
1,-0.2947792708873749,0.5295213778787335,0.42921966314315796,-0.15067307551833586,27.567123413085938,27.484619140625,24.426254272460938
2,-0.30358949303627014,0.5163151343637189,0.4167061448097229,-0.1492439945552011,27.515853881835938,27.0264892578125,24.181320190429688
3,-0.31241101026535034,0.5070296843820294,0.40305018424987793,-0.14810292323562102,27.457321166992188,26.577239990234375,23.925949096679688
4,-0.32149139046669006,0.49813285668427554,0.3889615535736084,-0.1441543539378305,27.417251586914062,26.126724243164062,23.6947021484375
5,-0.33225008845329285,0.48522630532319155,0.3764682114124298,-0.14213804801436858,27.374130249023438,25.624755859375,23.394058227539062
6,-0.34603631496429443,0.46934095223481265,0.36164721846580505,-0.1397748430583139,27.347976684570312,25.065231323242188,23.07806396484375
7,-0.3595350384712219,0.456622989969798,0.34614822268486023,-0.13676564296218352,27.34954833984375,24.507186889648438,22.793350219726562
8,-0.3763015568256378,0.43885174592072573,0.3307042121887207,-0.137486263117518,27.35784912109375,23.841644287109375,22.492935180664062
9,-0.3945062458515167,0.42178121407563296,0.3144432306289673,-0.13502852519484954,27.387832641601562,23.195144653320312,22.205612182617188
10,-0.4154372811317444,0.4031578620248517,0.2959047555923462,-0.13526563247176604,27.431381225585938,22.524826049804688,21.929611206054688
11,-0.44087058305740356,0.3820969184213361,0.27384763956069946,-0.14007775386306243,27.492568969726562,21.817184448242188,21.64898681640625
12,-0.47102460265159607,0.35846868355805483,0.25078415870666504,-0.14660672744246916,27.563644409179688,21.037521362304688,21.349639892578125
13,-0.503687858581543,0.33277812798554507,0.2263338416814804,-0.1459408243510385,27.646987915039062,20.244659423828125,21.016769409179688
14,-0.5346434712409973,0.3075567801767072,0.2023477703332901,-0.14807431300612883,27.7418212890625,19.480789184570312,20.753219604492188
15,-0.5633673667907715,0.2827631552987775,0.1798529326915741,-0.14663021167251067,27.812164306640625,18.7532958984375,20.452896118164062
16,-0.5911385416984558,0.25933686097199526,0.1574413776397705,-0.14081184466811614,27.865005493164062,18.066085815429688,20.1396484375
17,-0.616539478302002,0.2343961318307599,0.13964548707008362,-0.13225988944503264,27.895004272460938,17.39453125,19.889999389648438
18,-0.6415980458259583,0.21132746537263003,0.12015171349048615,-0.1220838268611093,27.88916015625,16.798843383789062,19.59326171875
19,-0.6644840836524963,0.18965307076508608,0.10054141283035278,-0.11222724517318206,27.868118286132812,16.252944946289062,19.305404663085938
20,-0.6875110268592834,0.16767135460908023,0.0825822502374649,-0.09930328925582366,27.802154541015625,15.685684204101562,19.027267456054688
21,-0.7091434597969055,0.14808741410309878,0.06514181196689606,-0.08250884612533049,27.694656372070312,15.171096801757812,18.735107421875
22,-0.727448582649231,0.13126960595185366,0.04914287105202675,-0.06860463221999602,27.563705444335938,14.72259521484375,18.466629028320312
23,-0.7462971210479736,0.114917667704173,0.03261858969926834,-0.05146746238204436,27.390548706054688,14.2904052734375,18.1995849609375
24,-0.7639100551605225,0.09868756135041323,0.017089800909161568,-0.035454316935267016,27.183761596679688,13.857681274414062,17.92779541015625
25,-0.7814944386482239,0.08230868180329409,0.00021058879792690277,-0.018044038614954516,26.963165283203125,13.42431640625,17.648834228515625
26,-0.7952797412872314,0.07046571572358218,-0.01598687469959259,-0.0050722797724862545,26.714309692382812,13.037261962890625,17.397369384765625
27,-0.8075478672981262,0.05920186837250796,-0.031170878559350967,0.0062251845982412846,26.449462890625,12.709579467773438,17.162246704101562
