itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.030454049992840737,273.9962463378906,5160623104.0,197.67530822753906,175.8353271484375,202.2447052001953,3.8774778842926025,0.30527108907699585,0.7948876619338989
2,0.03166189097100869,274.8064880371094,4592014336.0,202.6591339111328,179.4864959716797,206.2930908203125,3.917928457260132,0.338479220867157,0.8449501395225525
3,0.03181124903494492,282.4517517089844,4269979136.0,205.87120056152344,180.96836853027344,210.49122619628906,3.9559473991394043,0.3282129168510437,0.8944777846336365
4,0.029696281999349594,285.384033203125,4170444544.0,205.38134765625,180.17694091796875,214.9221649169922,3.978044271469116,0.29879218339920044,0.9315114617347717
5,0.02998413797467947,284.2030334472656,3909413376.0,204.32188415527344,179.95758056640625,219.23748779296875,3.9974520206451416,0.26909592747688293,0.9668225049972534
6,0.02985846804222092,282.65826416015625,3811356928.0,203.61585998535156,181.21925354003906,222.6693878173828,4.01688289642334,0.24309462308883667,1.0020071268081665
7,0.029744743020273745,281.04498291015625,3723414784.0,203.32994079589844,183.4507598876953,224.64186096191406,4.037576675415039,0.22452659904956818,1.0349018573760986
8,0.030420820985455066,279.6960144042969,3606154240.0,203.72520446777344,186.2178192138672,225.47317504882812,4.0626959800720215,0.21521039307117462,1.0718709230422974
9,0.031123950029723346,278.93878173828125,3483014912.0,203.69383239746094,188.90916442871094,225.6589813232422,4.085648059844971,0.20315587520599365,1.1072914600372314
10,0.030801968998275697,277.25885009765625,3466505472.0,203.2694091796875,190.65550231933594,225.59976196289062,4.112332820892334,0.1870136708021164,1.1387944221496582
11,0.0300420870189555,275.78363037109375,3232085248.0,203.10116577148438,192.06585693359375,224.89756774902344,4.1446614265441895,0.1729755401611328,1.1693110466003418
12,0.03051628899993375,275.058837890625,3092687104.0,202.5673828125,192.6798095703125,223.9617156982422,4.176809310913086,0.15559221804141998,1.1997238397598267
13,0.030783652036916465,273.5707702636719,2975955968.0,201.71768188476562,192.57199096679688,222.86439514160156,4.207449913024902,0.13482749462127686,1.2299599647521973
14,0.030929642962291837,271.1978759765625,2856869376.0,200.48118591308594,192.13658142089844,221.33279418945312,4.236538410186768,0.11180904507637024,1.2565408945083618
15,0.029182474012486637,268.161865234375,2735415808.0,199.0224609375,191.36683654785156,219.3627166748047,4.264913558959961,0.08779308199882507,1.2832536697387695
16,0.02922870998736471,264.4383544921875,2564611328.0,197.49180603027344,190.3560333251953,216.93829345703125,4.293361663818359,0.06432429701089859,1.3155403137207031
17,0.028726032993290573,260.01080322265625,2358256384.0,196.07354736328125,189.27633666992188,214.06700134277344,4.321666717529297,0.03929485008120537,1.3519407510757446
18,0.028318843978922814,254.89918518066406,2127758592.0,194.80215454101562,188.25119018554688,210.70896911621094,4.34919548034668,0.01318304892629385,1.3921375274658203
19,0.028817427984904498,249.19796752929688,1912984320.0,193.5341339111328,187.5445098876953,207.03390502929688,4.374955177307129,-0.012674239464104176,1.431627869606018
20,0.02867346303537488,243.42774963378906,1758817152.0,192.45401000976562,187.26065063476562,203.040283203125,4.399165153503418,-0.03678678721189499,1.467474102973938
21,0.028889105014968663,238.00669860839844,1674077952.0,191.388671875,187.34832763671875,198.87857055664062,4.420211315155029,-0.05794736370444298,1.497651219367981
