itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.029805852100253105,130.60137939453125,7092764160.0,167.6222381591797,201.87794494628906,190.83816528320312,3.067675828933716,-0.44756221771240234,2.2291269302368164
2,0.030600974336266518,113.5940933227539,6074217472.0,172.602783203125,196.89698791503906,187.51719665527344,3.1169161796569824,-0.39760372042655945,2.1790828704833984
3,0.029065797105431557,97.8070297241211,5242499072.0,177.50363159179688,192.07742309570312,189.14175415039062,3.1522607803344727,-0.34941139817237854,2.12992262840271
4,0.02748727984726429,88.37730407714844,4613509632.0,182.2103729248047,188.01913452148438,189.7188720703125,3.164496421813965,-0.3074816167354584,2.0807151794433594
5,0.029069628566503525,82.06460571289062,4191159808.0,186.54400634765625,185.50942993164062,189.22708129882812,3.1638741493225098,-0.2741636633872986,2.0314395427703857
6,0.02797822654247284,77.20613098144531,3883715584.0,190.19741821289062,185.49388122558594,187.8001251220703,3.152880907058716,-0.2513575851917267,1.9828604459762573
7,0.027837887406349182,73.40544128417969,3582058752.0,192.8474884033203,186.5198516845703,186.3457489013672,3.1393215656280518,-0.23943306505680084,1.9337294101715088
8,0.028934620320796967,70.06350708007812,3243519744.0,194.34754943847656,188.2761993408203,184.8108673095703,3.1163582801818848,-0.23456640541553497,1.8838682174682617
9,0.02865850180387497,68.47947692871094,2850131456.0,194.80535888671875,190.56312561035156,183.42330932617188,3.0890514850616455,-0.23315246403217316,1.8333790302276611
10,0.02765827067196369,68.75242614746094,2413144832.0,194.42788696289062,193.01531982421875,182.40444946289062,3.060152769088745,-0.22949957847595215,1.7826734781265259
11,0.02902485616505146,70.48567199707031,2056462592.0,193.4989013671875,194.80113220214844,182.05584716796875,3.025813341140747,-0.22187399864196777,1.732859492301941
12,0.028818512335419655,73.66435241699219,1875368064.0,192.15928649902344,195.08514404296875,182.12228393554688,2.9914276599884033,-0.20506533980369568,1.685907006263733
13,0.027920620515942574,75.6263427734375,1724356096.0,190.4603729248047,193.94686889648438,182.46893310546875,2.957965850830078,-0.1805303394794464,1.6433345079421997
14,0.029479337856173515,75.81256103515625,1490446976.0,188.52699279785156,191.85350036621094,182.60345458984375,2.9294278621673584,-0.14940787851810455,1.6063458919525146
15,0.029799623414874077,73.6629409790039,1243498240.0,186.52767944335938,189.21200561523438,181.89508056640625,2.9102442264556885,-0.11297909170389175,1.5755195617675781
16,0.028489185497164726,68.60613250732422,1011871424.0,184.62091064453125,186.28555297851562,180.47178649902344,2.9046921730041504,-0.07294491678476334,1.550165057182312
