itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.029243266035337,127.99474334716797,9390725120.0,203.1689453125,156.80160522460938,187.60462951660156,3.0667994022369385,-0.4745027422904968,2.299669027328491
2,0.028579309990163893,122.21221923828125,8174798848.0,198.19537353515625,161.63519287109375,192.60009765625,3.0343122482299805,-0.4314691424369812,2.324514150619507
3,0.02784615504788235,128.23239135742188,7223265792.0,193.28318786621094,166.546630859375,196.7213592529297,3.022549867630005,-0.39281192421913147,2.3330905437469482
4,0.028818928985856473,131.7129669189453,6482338816.0,188.52476501464844,171.5004119873047,198.63455200195312,3.009982109069824,-0.3615686893463135,2.3131906986236572
5,0.02862005098722875,131.87640380859375,5978263040.0,184.19273376464844,176.43569946289062,198.08677673339844,2.9913642406463623,-0.3381267189979553,2.2822537422180176
6,0.028655595961026847,130.1451416015625,5577606144.0,180.6797637939453,181.20938110351562,196.41241455078125,2.9671382904052734,-0.32150495052337646,2.2456040382385254
7,0.02907683397643268,128.29959106445312,5269870080.0,178.26248168945312,185.7556915283203,194.20001220703125,2.9410269260406494,-0.3100367486476898,2.2049167156219482
8,0.028639513009693474,126.75190734863281,5014420992.0,176.98448181152344,189.95889282226562,191.54786682128906,2.9154937267303467,-0.3026239573955536,2.161360502243042
9,0.02911357401171699,125.3644790649414,4765301248.0,176.7841033935547,193.76071166992188,188.9955291748047,2.892164945602417,-0.2974221706390381,2.1156532764434814
10,0.029807502985931933,124.41070556640625,4510772736.0,177.50111389160156,197.0565185546875,185.9827423095703,2.872908353805542,-0.29010826349258423,2.068211793899536
11,0.029179526958614588,123.03057861328125,4235532544.0,178.9578399658203,199.73348999023438,183.49754333496094,2.8619163036346436,-0.2809795141220093,2.019338607788086
12,0.029413971991743892,121.04631042480469,3939396864.0,180.94410705566406,201.5712890625,182.1782684326172,2.8588578701019287,-0.2697826027870178,1.9695532321929932
