itr,time,loss,geodesic,theta,phi,gamma,bx,by,bz
0,0.007177193008828908,22529243136.0,180.6087646484375,2.8512566089630127,0.06842926144599915,2.331315517425537,203.2294158935547,189.4979705810547,155.46356201171875
1,0.027583883958868682,22415566848.0,169.8648681640625,2.901256561279297,0.1184292584657669,2.281315565109253,198.2294158935547,194.4979705810547,160.46356201171875
2,0.027290767000522465,22324422656.0,156.79925537109375,2.942296266555786,0.1652202606201172,2.231851100921631,193.22308349609375,191.58580017089844,165.2024383544922
3,0.026247414003591985,22529824768.0,145.96604919433594,2.9758896827697754,0.2134629189968109,2.182091474533081,188.43312072753906,188.54087829589844,169.74851989746094
4,0.026152254024054855,22296911872.0,139.4244842529297,3.0015220642089844,0.254940003156662,2.132234811782837,183.96759033203125,187.64865112304688,173.9425506591797
5,0.026713881990872324,22315948032.0,132.33270263671875,3.035708427429199,0.29456186294555664,2.082042694091797,181.34764099121094,187.7457733154297,173.307373046875
6,0.026872435002587736,22291924992.0,123.0520248413086,3.069805383682251,0.3170708417892456,2.031517744064331,180.062255859375,187.3073272705078,171.19332885742188
7,0.024392837018240243,22202198016.0,114.71197509765625,3.1088318824768066,0.3341635465621948,1.9807605743408203,179.68113708496094,187.89794921875,168.4078369140625
8,0.026508282986469567,22296838144.0,106.77690124511719,3.149644374847412,0.3352683186531067,1.9297502040863037,179.7864990234375,188.96363830566406,165.0867919921875
9,0.023429452965501696,22177966080.0,99.476318359375,3.189610481262207,0.323605477809906,1.8783221244812012,179.48585510253906,189.87234497070312,161.35740661621094
10,0.023614595993421972,22036760576.0,91.51172637939453,3.216402053833008,0.3001502752304077,1.8277521133422852,178.8109588623047,188.992919921875,157.29319763183594
11,0.023759707051794976,22062800896.0,83.99824523925781,3.231729507446289,0.2707417905330658,1.7779042720794678,177.80859375,187.40359497070312,153.2919921875
12,0.02391110797179863,22050902016.0,76.90414428710938,3.2415432929992676,0.2369665950536728,1.729150414466858,176.90225219726562,184.77699279785156,149.32907104492188
13,0.025060985004529357,22017159168.0,69.81645202636719,3.248276472091675,0.19946780800819397,1.6798760890960693,175.64976501464844,181.94888305664062,146.2327880859375
14,0.023683812003582716,22067580928.0,62.940643310546875,3.2516236305236816,0.16079239547252655,1.631659746170044,174.951171875,179.18984985351562,144.15914916992188
15,0.022796318982727826,21942691840.0,57.34858703613281,3.2537035942077637,0.12212325632572174,1.5867773294448853,174.70779418945312,176.65797424316406,142.8921356201172
16,0.024475354002788663,22041565184.0,52.65924072265625,3.2506511211395264,0.08736610412597656,1.5444986820220947,175.152587890625,175.1344757080078,143.18896484375
17,0.02405987202655524,21925255168.0,49.91468048095703,3.2445523738861084,0.05948749929666519,1.5076934099197388,176.3131103515625,173.80419921875,144.6339111328125
18,0.025307599978987128,22034376704.0,48.26625061035156,3.238394260406494,0.03712949901819229,1.47983980178833,177.98480224609375,173.31698608398438,146.84019470214844
19,0.021824188996106386,21932443648.0,46.982479095458984,3.235288619995117,0.02132279798388481,1.4605454206466675,179.71238708496094,173.81887817382812,149.52792358398438
20,0.02373552299104631,21900689408.0,44.80357360839844,3.2303478717803955,0.015420920215547085,1.4486291408538818,181.03836059570312,174.57899475097656,152.5679473876953
