# 3.773337474996917,0.31274937600387487,2.2376353608210255,191.00466738055476,170.8603725297614,161.0411309410604
itr,loss,delt,detp,delg,delx,dely,delz
0,-0.5638054609298706,0.631744821407124,0.31274937600387487,0.6668390340261292,11.004667380554757,-9.13962747023859,-5.208869058939605
1,-0.5697108507156372,-0.6316648403829852,-0.3146998882293701,-0.6550721367213388,-10.677505493164062,9.3216552734375,5.338592529296875
2,-0.5776901245117188,-0.6315132061666766,-0.3206731975078583,-0.6366652687403818,-10.273040771484375,9.427322387695312,5.4422454833984375
3,-0.5863276720046997,-0.6343410889334002,-0.32685667276382446,-0.6149164875361581,-9.931854248046875,9.594558715820312,5.553314208984375
4,-0.5923153162002563,-0.6375571171469012,-0.326109915971756,-0.6011003692958017,-9.5135498046875,9.718429565429688,5.6732025146484375
5,-0.5995422601699829,-0.6400442997640887,-0.3270036280155182,-0.5832773884150644,-9.137969970703125,9.814895629882812,5.7634429931640625
6,-0.6067418456077576,-0.6428087631887713,-0.3196999430656433,-0.5684091289851327,-8.673828125,9.918930053710938,5.844970703125
7,-0.614395022392273,-0.6474922577566424,-0.318797767162323,-0.549740000567164,-8.36761474609375,10.015914916992188,5.949005126953125
8,-0.6204240322113037,-0.6536208073324481,-0.31699103116989136,-0.5381795605036874,-8.038131713867188,10.165802001953125,5.87896728515625
9,-0.6295528411865234,-0.6600330750173846,-0.3104878067970276,-0.5209798057887216,-7.635986328125,10.3006591796875,5.9806976318359375
10,-0.6414309144020081,-0.6723979393667499,-0.3021731674671173,-0.49994175036879973,-7.274627685546875,10.480880737304688,6.10650634765625
11,-0.6492981910705566,-0.6766582409567157,-0.290833979845047,-0.48496095736953215,-7.0267791748046875,10.595062255859375,6.14801025390625
12,-0.6574802398681641,-0.679492322606496,-0.28518903255462646,-0.47026722033950286,-6.6637115478515625,10.704071044921875,6.3122711181640625
13,-0.6686590909957886,-0.6821912209219256,-0.27785882353782654,-0.4498116215083261,-6.2024993896484375,10.76055908203125,6.412506103515625
14,-0.6791308522224426,-0.6876398007101336,-0.26991507411003113,-0.4288155277583261,-5.90130615234375,10.7880859375,6.473846435546875
15,-0.6906725168228149,-0.690445987386159,-0.26386550068855286,-0.40701548655959563,-5.564453125,10.836074829101562,6.5556640625
16,-0.7043883204460144,-0.6934555451101581,-0.2535708546638489,-0.3823266466471811,-5.258697509765625,10.904510498046875,6.5760345458984375
17,-0.7199656963348389,-0.6968940178579608,-0.24401427805423737,-0.3578607281062265,-4.8911895751953125,10.943008422851562,6.6685028076171875
18,-0.7373174428939819,-0.6986084858602801,-0.23227092623710632,-0.33271817763778166,-4.503814697265625,10.992630004882812,6.778961181640625
19,-0.7564536333084106,-0.7035089413351336,-0.2213771790266037,-0.3028535087916513,-4.1324462890625,10.97900390625,6.866058349609375
20,-0.7718480229377747,-0.7075985352224627,-0.20968849956989288,-0.2776130874964853,-3.7931060791015625,10.956787109375,6.9754791259765625
21,-0.7832581996917725,-0.7086306492513934,-0.19955280423164368,-0.25596122344466643,-3.5346221923828125,10.98828125,7.03955078125
22,-0.792638897895813,-0.7078376690573016,-0.19496029615402222,-0.2327691753718515,-3.3235931396484375,11.052688598632812,7.063751220703125
23,-0.799105167388916,-0.7073036114401141,-0.18807123601436615,-0.21624068816634612,-3.171142578125,11.126312255859375,7.1003265380859375
24,-0.8051414489746094,-0.7043751160330096,-0.1809203177690506,-0.19876639445754485,-3.046356201171875,11.120193481445312,7.1077423095703125
25,-0.8102484345436096,-0.7027460018820086,-0.18005774915218353,-0.1798613508555551,-2.94891357421875,11.126754760742188,7.117767333984375
26,-0.8137766122817993,-0.6984215656942645,-0.1772100180387497,-0.16760675509902434,-2.85479736328125,11.155502319335938,7.121368408203125
27,-0.817516565322876,-0.6926461140341083,-0.1732606142759323,-0.15393464168044524,-2.7794952392578125,11.188034057617188,7.1018218994140625
28,-0.8206225633621216,-0.6896000782675067,-0.17096547782421112,-0.14127604564162688,-2.71142578125,11.158279418945312,7.10345458984375
29,-0.8224409818649292,-0.6867166439718524,-0.16507166624069214,-0.13433246215316252,-2.6613311767578125,11.208267211914062,7.02471923828125
30,-0.8239762783050537,-0.6832326332754413,-0.16371113061904907,-0.12550823291274504,-2.630889892578125,11.208755493164062,7.0061187744140625
31,-0.8248410224914551,-0.6801107804006854,-0.15977436304092407,-0.12157373031112151,-2.6378173828125,11.253372192382812,6.9848785400390625
32,-0.8260390162467957,-0.6749485413259784,-0.15776263177394867,-0.11518923839065032,-2.647735595703125,11.222335815429688,6.976593017578125
33,-0.8271386623382568,-0.668797103566579,-0.158766970038414,-0.10857014258834319,-2.663665771484375,11.1651611328125,6.92401123046875
34,-0.8277563452720642,-0.6676543633169452,-0.1563587188720703,-0.1015755375239511,-2.67864990234375,11.143112182617188,6.8975677490234375
35,-0.8285972476005554,-0.6620257775015155,-0.1583404839038849,-0.09271959861251311,-2.675201416015625,11.021011352539062,6.89447021484375
36,-0.8294230103492737,-0.6553810517019549,-0.15646494925022125,-0.08948092063399748,-2.673919677734375,10.956069946289062,6.846282958984375
37,-0.829950749874115,-0.6514523903555194,-0.15506911277770996,-0.08737675746413665,-2.66748046875,10.8970947265625,6.8440093994140625
38,-0.8304318189620972,-0.6472533623403827,-0.15538226068019867,-0.0847140987727304,-2.6808929443359375,10.831893920898438,6.84552001953125
39,-0.8307995200157166,-0.6438532749838153,-0.1544790267944336,-0.08373539050551848,-2.68878173828125,10.774566650390625,6.8446197509765625
40,-0.8310638666152954,-0.6397674957937518,-0.15017174184322357,-0.08783595164748625,-2.7085418701171875,10.797775268554688,6.8392486572265625
41,-0.8317720293998718,-0.6340123097128192,-0.14562101662158966,-0.08851019938918547,-2.7000732421875,10.76458740234375,6.819122314453125
42,-0.8322507739067078,-0.6315089146322528,-0.14630331099033356,-0.08369402488204436,-2.6929473876953125,10.729400634765625,6.7991180419921875
43,-0.8332903981208801,-0.6226707379049579,-0.14756929874420166,-0.08045045932265715,-2.68017578125,10.647216796875,6.8105010986328125
44,-0.8341005444526672,-0.6165731827444354,-0.14348217844963074,-0.08181421359511809,-2.66021728515625,10.629913330078125,6.7899627685546875
45,-0.8344240188598633,-0.6139813343710223,-0.14748454093933105,-0.07471136649581389,-2.6305389404296875,10.525238037109375,6.7722320556640625
46,-0.8358139395713806,-0.6054211537069598,-0.14496992528438568,-0.07536832889052825,-2.594940185546875,10.485748291015625,6.7624053955078125
47,-0.836794912815094,-0.597942439717702,-0.14135117828845978,-0.07581381400557952,-2.551849365234375,10.455856323242188,6.75494384765625
48,-0.8374788761138916,-0.5931185166067401,-0.14137040078639984,-0.07311729987594084,-2.4998626708984375,10.408187866210938,6.7294158935546875
49,-0.837935745716095,-0.5879295746511737,-0.14349955320358276,-0.06935684283706145,-2.449676513671875,10.314971923828125,6.7297210693359375
50,-0.8387755751609802,-0.5810776631063739,-0.140899196267128,-0.06930081447097258,-2.38653564453125,10.2841796875,6.730987548828125
51,-0.8394678235054016,-0.57498845259612,-0.13754886388778687,-0.07090382178756194,-2.32574462890625,10.25714111328125,6.748199462890625
52,-0.8402605056762695,-0.5685757080740252,-0.1370474249124527,-0.06908945640059905,-2.272247314453125,10.193359375,6.7602691650390625
53,-0.8408764600753784,-0.5640896240896502,-0.13582055270671844,-0.06591097911330657,-2.2194366455078125,10.137924194335938,6.773681640625
54,-0.8416830897331238,-0.5584805885977069,-0.13096055388450623,-0.06740789016219573,-2.1698760986328125,10.164520263671875,6.753662109375
55,-0.8422250747680664,-0.5539825836843768,-0.13061654567718506,-0.0654657324168344,-2.1165771484375,10.104049682617188,6.7383880615234375
56,-0.8429784774780273,-0.547670690221242,-0.1292424350976944,-0.06550590594741301,-2.0553436279296875,10.062973022460938,6.7310791015625
57,-0.8438349366188049,-0.5420936028188983,-0.1285938173532486,-0.062436028322901294,-1.9911956787109375,9.999114990234375,6.72381591796875
58,-0.8448048830032349,-0.5358661095327655,-0.12687179446220398,-0.060017510256495044,-1.9296875,9.921432495117188,6.7143096923828125
59,-0.8459964394569397,-0.5283206383413592,-0.12511621415615082,-0.05880372127028899,-1.89105224609375,9.868911743164062,6.7140655517578125
60,-0.8472458720207214,-0.5208397785848895,-0.12344787269830704,-0.05909852584334807,-1.8390960693359375,9.8350830078125,6.683624267578125
61,-0.8492196798324585,-0.5106168667501727,-0.12300068885087967,-0.058023258051600024,-1.8010101318359375,9.787185668945312,6.6756744384765625
62,-0.8516882658004761,-0.5000470558828631,-0.12224268168210983,-0.053581639132227465,-1.7434234619140625,9.711013793945312,6.681640625
63,-0.8538281321525574,-0.4896195809072772,-0.12264159321784973,-0.050151272616114184,-1.6667633056640625,9.63177490234375,6.6694488525390625
64,-0.8565574288368225,-0.47867187659209165,-0.12006591260433197,-0.04920928081008391,-1.5852508544921875,9.51959228515625,6.6551513671875
65,-0.8600118160247803,-0.46631392638152036,-0.11512396484613419,-0.04879729350539641,-1.502777099609375,9.461074829101562,6.6268310546875
66,-0.8632904291152954,-0.4555130879110614,-0.11178891360759735,-0.043477102122034594,-1.4183197021484375,9.383193969726562,6.6283721923828125
67,-0.8669013381004333,-0.4433861653036395,-0.10782478004693985,-0.039699240526880786,-1.34259033203125,9.268142700195312,6.6177825927734375
68,-0.8717197775840759,-0.4298387448019305,-0.1046304702758789,-0.03401856025191741,-1.2664031982421875,9.111297607421875,6.599578857421875
69,-0.8769834041595459,-0.4162405411428729,-0.09936219453811646,-0.02872745593520598,-1.1835174560546875,8.97161865234375,6.615936279296875
70,-0.8829696774482727,-0.39994987647002134,-0.09191259741783142,-0.025431795916285083,-1.102935791015625,8.840530395507812,6.565399169921875
