itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.018904850003309548,162.52828979492188,5363569152.0,191.8788604736328,165.37045288085938,152.74752807617188,2.9961347579956055,0.33135634660720825,2.079179048538208
2,0.01887285301927477,151.37362670898438,4629026304.0,192.8513641357422,170.3485870361328,154.83419799804688,3.0445871353149414,0.36803221702575684,2.02911114692688
3,0.019000958011019975,141.01409912109375,4300283904.0,190.3912353515625,174.5828094482422,156.06793212890625,3.08496356010437,0.37137794494628906,1.980637550354004
4,0.018839606957044452,127.59452056884766,3761139456.0,187.05905151367188,178.1352996826172,155.8982696533203,3.1242315769195557,0.37179863452911377,1.934590458869934
5,0.018844083999283612,116.42630004882812,3619539200.0,183.1508331298828,181.7358856201172,154.20619201660156,3.1635162830352783,0.3501603305339813,1.8884050846099854
6,0.019192370993550867,106.08280944824219,3022318592.0,179.35548400878906,184.55645751953125,151.4693145751953,3.1876304149627686,0.3181270956993103,1.841153860092163
7,0.018742336018476635,98.09415435791016,2439177728.0,175.45135498046875,186.65011596679688,148.9258575439453,3.200490951538086,0.2804168462753296,1.7936134338378906
8,0.0188663310254924,90.3822021484375,1959316352.0,172.18185424804688,187.4741668701172,147.08631896972656,3.209036111831665,0.23999318480491638,1.7459263801574707
9,0.019003968976903707,81.81608581542969,1625882496.0,169.6651153564453,187.5515594482422,146.30628967285156,3.217514753341675,0.19941167533397675,1.699644923210144
10,0.019053102005273104,72.67086791992188,1484061696.0,168.92164611816406,186.18084716796875,147.2988739013672,3.216165781021118,0.15782077610492706,1.6534987688064575
11,0.019843101035803556,60.867034912109375,1302452352.0,169.08274841308594,184.28416442871094,149.63063049316406,3.2160565853118896,0.11847395449876785,1.6111217737197876
12,0.01900243799900636,49.18055725097656,1002862976.0,170.2015380859375,182.04263305664062,152.61968994140625,3.213045120239258,0.08564428240060806,1.5732276439666748
13,0.01946336799301207,39.13929748535156,921806592.0,172.1975860595703,180.0901641845703,156.05865478515625,3.216386556625366,0.05501837655901909,1.5395365953445435
14,0.018883579003158957,32.51368713378906,630547968.0,174.73582458496094,177.98085021972656,159.77545166015625,3.214552402496338,0.03121013753116131,1.5164923667907715
15,0.019272787030786276,27.902267456054688,432393184.0,177.6610565185547,175.97369384765625,163.57484436035156,3.2098922729492188,0.012714937329292297,1.500370740890503
16,0.019897411984857172,25.162935256958008,382134848.0,180.5829315185547,174.5719757080078,167.1030731201172,3.203137159347534,-0.0006600878550671041,1.4935952425003052
17,0.01885974401375279,25.21292495727539,468072448.0,183.1073455810547,174.16966247558594,170.22784423828125,3.1958038806915283,-0.012600945308804512,1.4936869144439697
18,0.01932828698772937,26.649696350097656,534804672.0,184.80262756347656,174.66046142578125,172.68885803222656,3.1921322345733643,-0.024642756208777428,1.4992831945419312
19,0.018991771969012916,27.729761123657227,534798144.0,185.8414306640625,175.71279907226562,174.6343536376953,3.1834702491760254,-0.038050953298807144,1.509032130241394
20,0.019087936962023377,27.568687438964844,650515200.0,185.87889099121094,177.3838653564453,176.03408813476562,3.176159143447876,-0.050371840596199036,1.521856427192688
21,0.01979864703025669,26.673812866210938,527292640.0,185.17869567871094,179.18150329589844,176.5644073486328,3.1659867763519287,-0.059359900653362274,1.538557529449463
22,0.019132574961986393,24.563791275024414,425103808.0,183.93531799316406,180.89320373535156,176.44647216796875,3.154188632965088,-0.06768272817134857,1.5554829835891724
23,0.01883641496533528,22.888402938842773,304156928.0,182.4622344970703,182.27012634277344,175.8400421142578,3.1427018642425537,-0.07480859756469727,1.5726343393325806
24,0.01880102598806843,22.123971939086914,298567712.0,180.9200897216797,183.39036560058594,174.79293823242188,3.1298866271972656,-0.07637276500463486,1.5891084671020508
