itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.012679709121584892,222.20037841796875,9382461440.0,173.1338653564453,180.48707580566406,192.4088897705078,2.422727108001709,-1.059920072555542,2.1217615604400635
2,0.017125116661190987,240.4814453125,8004142080.0,178.0137939453125,182.94845581054688,190.71229553222656,2.3944807052612305,-1.1060142517089844,2.141467809677124
3,0.016223149374127388,245.03724670410156,7027872256.0,182.94143676757812,181.42172241210938,187.52366638183594,2.3771555423736572,-1.14835524559021,2.1718921661376953
4,0.017086336389183998,245.67376708984375,6235873792.0,187.63282775878906,181.03968811035156,183.7919464111328,2.3635640144348145,-1.1925381422042847,2.206148147583008
5,0.016308249905705452,246.15968322753906,5639448064.0,192.01536560058594,178.82156372070312,180.107421875,2.3573732376098633,-1.2367900609970093,2.245387554168701
6,0.016477257013320923,246.36082458496094,5297671168.0,196.02362060546875,176.37265014648438,177.194580078125,2.3495357036590576,-1.2756662368774414,2.2805755138397217
7,0.017149968072772026,248.57974243164062,5247577600.0,199.7641143798828,174.46923828125,175.03561401367188,2.349203586578369,-1.3086711168289185,2.319033145904541
8,0.016923807561397552,249.78175354003906,5352628224.0,202.97508239746094,174.25062561035156,173.50936889648438,2.346632957458496,-1.3320914506912231,2.3516318798065186
9,0.015401281416416168,250.80279541015625,5559898112.0,205.69464111328125,175.37646484375,172.5834503173828,2.3389053344726562,-1.3489991426467896,2.37479829788208
10,0.015917787328362465,252.67941284179688,5691926528.0,207.4323272705078,176.27508544921875,172.3973388671875,2.3286828994750977,-1.3670066595077515,2.38873291015625
11,0.016774607822299004,255.4753875732422,5783556608.0,208.8088836669922,177.29217529296875,172.678466796875,2.322478771209717,-1.3781847953796387,2.405913829803467
12,0.015430793166160583,256.46600341796875,5801230336.0,209.71800231933594,178.45712280273438,173.42724609375,2.3179028034210205,-1.3856611251831055,2.423004627227783
13,0.015890957787632942,256.57904052734375,5828748288.0,209.97647094726562,179.81036376953125,174.47547912597656,2.3137526512145996,-1.3867034912109375,2.438408136367798
14,0.016070278361439705,255.8109588623047,5803538944.0,209.6316680908203,181.572265625,175.63699340820312,2.3041679859161377,-1.3855148553848267,2.4455816745758057
15,0.01692803204059601,256.2757873535156,5756362752.0,208.7836456298828,182.9675750732422,177.20840454101562,2.2981245517730713,-1.3760675191879272,2.4584057331085205
16,0.017133256420493126,254.66580200195312,5657068032.0,207.1747283935547,184.05812072753906,178.7465362548828,2.279060125350952,-1.3682832717895508,2.4545490741729736
17,0.01684519089758396,256.6495361328125,5561928192.0,205.41380310058594,185.3186798095703,179.98501586914062,2.2627036571502686,-1.3595727682113647,2.4525158405303955
18,0.015395523980259895,257.8805236816406,5492303360.0,203.34368896484375,186.54287719726562,180.47190856933594,2.2426254749298096,-1.3519212007522583,2.444978713989258
19,0.01584308221936226,259.9454345703125,5444104192.0,201.34910583496094,188.02037048339844,180.4326934814453,2.226248025894165,-1.3425111770629883,2.4417665004730225
20,0.016894379630684853,260.8216247558594,5368378880.0,199.28321838378906,188.717041015625,179.87020874023438,2.205944299697876,-1.3315571546554565,2.4322028160095215
21,0.017108161002397537,262.46136474609375,5342957568.0,197.19667053222656,188.69190979003906,178.95889282226562,2.1857059001922607,-1.3212417364120483,2.421276569366455
