itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.01468820683658123,187.56382751464844,6881425408.0,161.25132751464844,187.4822540283203,163.68601989746094,2.904064416885376,1.0513190031051636,0.8605020642280579
2,0.015355311334133148,189.693115234375,6135779840.0,164.24085998535156,186.59414672851562,168.51217651367188,2.907238006591797,1.025010108947754,0.9087188243865967
3,0.018577750772237778,178.77987670898438,5821867008.0,168.0042724609375,184.04917907714844,168.0872344970703,2.9383416175842285,0.9936265349388123,0.9271807670593262
4,0.018176864832639694,170.7707061767578,5614936064.0,172.21249389648438,182.6531524658203,165.4645538330078,2.976942300796509,0.9896441698074341,0.9282196164131165
5,0.017226707190275192,169.597412109375,5506775552.0,173.01002502441406,183.16946411132812,162.11285400390625,3.010643720626831,0.9727330803871155,0.9297989010810852
6,0.01791675016283989,170.93211364746094,5304956928.0,172.2227783203125,183.28565979003906,159.2867889404297,3.026580810546875,0.9499432444572449,0.946797788143158
7,0.017529506236314774,169.9229736328125,5518488064.0,173.51885986328125,184.41339111328125,157.7630157470703,3.0509910583496094,0.9393723607063293,0.958716630935669
8,0.018483169376850128,170.74972534179688,5540689408.0,174.06336975097656,183.50393676757812,156.64019775390625,3.0719783306121826,0.928206741809845,0.9787351489067078
9,0.018010029569268227,170.11451721191406,5502014976.0,173.91722106933594,182.58139038085938,156.6192626953125,3.0982651710510254,0.9137506484985352,0.9960928559303284
10,0.017222093418240547,169.48333740234375,5430433792.0,172.7580108642578,182.55081176757812,158.44796752929688,3.1225571632385254,0.8972573280334473,1.0163155794143677
11,0.01682882197201252,167.54827880859375,5056870912.0,172.1811981201172,183.24790954589844,160.917236328125,3.144090414047241,0.8734657764434814,1.0409926176071167
12,0.01905624195933342,163.65951538085938,4917282816.0,172.82870483398438,182.3888397216797,162.31666564941406,3.1593308448791504,0.8500803112983704,1.0691630840301514
13,0.01650901511311531,158.28965759277344,4798971392.0,172.3860321044922,180.87123107910156,163.5948486328125,3.1736559867858887,0.8204699158668518,1.09394371509552
14,0.017964299768209457,153.3128662109375,5097263616.0,173.60702514648438,179.35755920410156,165.0026092529297,3.1892333030700684,0.796963095664978,1.1154823303222656
15,0.017445368692278862,148.60446166992188,4999085056.0,173.39947509765625,178.32408142089844,166.07989501953125,3.211560010910034,0.7685818672180176,1.1204297542572021
16,0.01609663851559162,147.33319091796875,4687348224.0,173.77059936523438,178.24468994140625,166.7880401611328,3.233220338821411,0.7346822619438171,1.1197019815444946
17,0.01836271397769451,145.2647247314453,4454681088.0,174.13809204101562,178.60171508789062,167.4240264892578,3.253810405731201,0.6988379955291748,1.1187766790390015
18,0.01729762926697731,143.00457763671875,4249930752.0,174.42208862304688,179.1324920654297,167.73382568359375,3.2740442752838135,0.6640552282333374,1.1153322458267212
19,0.018621986731886864,141.37655639648438,4179619840.0,175.33804321289062,179.8090362548828,168.00216674804688,3.290886402130127,0.6313723921775818,1.1167223453521729
20,0.01735890470445156,138.7207794189453,4051275264.0,177.08639526367188,180.11990356445312,168.45204162597656,3.309467077255249,0.5973055958747864,1.1187139749526978
