itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.012981729581952095,248.81353759765625,6663936512.0,183.83935546875,215.7620849609375,183.09632873535156,3.662031412124634,0.6094362735748291,0.8610241413116455
2,0.014431411400437355,261.84033203125,7536354304.0,187.8565216064453,217.83261108398438,187.6989288330078,3.7011220455169678,0.6483228802680969,0.9086251854896545
3,0.01532316766679287,270.5365295410156,6359105536.0,190.61871337890625,221.28558349609375,192.42587280273438,3.7261457443237305,0.6748803853988647,0.9562532901763916
4,0.01651652902364731,277.3128356933594,7799842304.0,192.0256805419922,223.64561462402344,191.8901824951172,3.736520767211914,0.6926149725914001,1.004148006439209
5,0.017130669206380844,277.1343688964844,8211337216.0,192.5692596435547,225.8284912109375,190.11972045898438,3.7393481731414795,0.7051834464073181,1.0491931438446045
6,0.01715700514614582,274.8668518066406,8275758592.0,192.53433227539062,228.371826171875,187.388427734375,3.7347609996795654,0.714202344417572,1.0958236455917358
7,0.01628551259636879,270.9609375,8197501440.0,192.0022735595703,227.8272705078125,184.56146240234375,3.726731300354004,0.7180324792861938,1.1422607898712158
8,0.016524914652109146,263.4329528808594,8049888256.0,191.34230041503906,226.7241668701172,181.24339294433594,3.7187728881835938,0.7207977771759033,1.174633502960205
9,0.017094532027840614,256.8927001953125,7794829824.0,190.50210571289062,225.19554138183594,177.4954071044922,3.710883617401123,0.7237027287483215,1.2041479349136353
10,0.01710955612361431,250.41583251953125,7451975168.0,189.47840881347656,225.38189697265625,173.4720458984375,3.7001304626464844,0.7300595641136169,1.2304444313049316
11,0.016442004591226578,246.1234130859375,7189353984.0,188.55369567871094,225.6709442138672,169.2093048095703,3.6900322437286377,0.737312376499176,1.2409145832061768
12,0.01654401794075966,244.05845642089844,7000628224.0,187.65528869628906,225.81346130371094,164.9588623046875,3.681410789489746,0.7456085085868835,1.2442599534988403
13,0.01709912344813347,243.29623413085938,6832646656.0,186.8431854248047,226.09442138671875,160.65191650390625,3.675386428833008,0.7542763352394104,1.2397024631500244
14,0.016873614862561226,244.275634765625,6564064256.0,186.1281280517578,226.55679321289062,156.42222595214844,3.6720266342163086,0.7644031643867493,1.230472207069397
15,0.015365619212388992,246.85816955566406,6320611840.0,185.58140563964844,227.30535888671875,152.61984252929688,3.6714816093444824,0.7744302153587341,1.2145854234695435
16,0.015909012407064438,251.03347778320312,6211874816.0,185.2509765625,228.1802215576172,149.44873046875,3.6737029552459717,0.7854100465774536,1.1968952417373657
17,0.01684758812189102,256.1444091796875,6283411968.0,185.1754913330078,228.80987548828125,147.28091430664062,3.678293228149414,0.7948880791664124,1.1812795400619507
18,0.01708432100713253,260.8586120605469,6453294080.0,185.2940216064453,229.8569793701172,146.81007385253906,3.6846580505371094,0.8020073771476746,1.168729543685913
19,0.01692991890013218,265.11932373046875,6612828160.0,185.5055694580078,230.12904357910156,147.9503631591797,3.6902241706848145,0.8070715069770813,1.1626958847045898
20,0.015367560088634491,267.0894470214844,6415878144.0,185.7722625732422,231.07492065429688,150.03602600097656,3.6963818073272705,0.8117650747299194,1.1586189270019531
21,0.01591186225414276,269.2903747558594,6152666624.0,186.07167053222656,233.4056854248047,152.4825439453125,3.7032454013824463,0.8165193200111389,1.1442673206329346
22,0.018208783119916916,274.00506591796875,5891428864.0,186.37513732910156,236.2978973388672,154.98019409179688,3.711810827255249,0.8219285607337952,1.1220955848693848
23,0.016130467876791954,280.6134948730469,5793696256.0,186.55369567871094,238.28204345703125,157.1162872314453,3.7191030979156494,0.8282614350318909,1.100590705871582
24,0.017121290788054466,286.4208679199219,5939642880.0,186.5116729736328,238.64996337890625,158.8109130859375,3.724823236465454,0.8325214385986328,1.0797938108444214
25,0.016222070902585983,290.2359313964844,6050868736.0,186.1166229248047,236.02008056640625,159.7075653076172,3.708974599838257,0.8112834692001343,1.1047227382659912
26,0.016106467694044113,279.70892333984375,5880872960.0,185.45492553710938,233.6132354736328,160.22828674316406,3.692094087600708,0.7921786904335022,1.1284503936767578
27,0.01698940433561802,269.70123291015625,5926310912.0,184.96517944335938,231.4196319580078,160.5753173828125,3.6786341667175293,0.7755077481269836,1.1492732763290405
28,0.01720244064927101,261.141845703125,6101302272.0,184.67225646972656,229.3966064453125,160.68617248535156,3.6672117710113525,0.7618489861488342,1.168805718421936
29,0.016834337264299393,253.6628875732422,6443858944.0,184.80357360839844,227.46470642089844,161.05015563964844,3.6630585193634033,0.7507587671279907,1.1857722997665405
30,0.015392309054732323,248.05026245117188,6631459328.0,185.0784454345703,225.6548614501953,161.13526916503906,3.660993814468384,0.740604043006897,1.2006765604019165
31,0.01589062437415123,243.28334045410156,6737039872.0,185.45042419433594,224.0241241455078,160.98878479003906,3.6591758728027344,0.7323538661003113,1.2144843339920044
32,0.016911614686250687,239.1355438232422,6647628288.0,185.31320190429688,222.4970703125,160.75140380859375,3.652756452560425,0.7214718461036682,1.2278311252593994
33,0.01713615097105503,234.06423950195312,6513573888.0,185.10568237304688,221.10226440429688,160.41563415527344,3.647285223007202,0.7109835147857666,1.2399672269821167
34,0.01713103987276554,229.46347045898438,6464672768.0,184.9415283203125,219.76820373535156,159.8997039794922,3.6423280239105225,0.7013719081878662,1.2509222030639648
35,0.016372011974453926,225.27476501464844,6476874752.0,184.7508544921875,218.55078125,159.2639923095703,3.63742995262146,0.692640483379364,1.2605046033859253
36,0.016517188400030136,221.48377990722656,6380671488.0,184.4953155517578,217.4855499267578,158.7275390625,3.631936550140381,0.6841830015182495,1.2694085836410522
37,0.017112629488110542,217.8428192138672,6272696320.0,184.11712646484375,216.4647216796875,158.28955078125,3.625936985015869,0.6767463684082031,1.2778964042663574
38,0.017120130360126495,214.31674194335938,6157787648.0,183.67526245117188,215.4369354248047,157.8660888671875,3.618576765060425,0.6702101230621338,1.2866568565368652
39,0.016298072412610054,210.67213439941406,6058133504.0,182.8957977294922,214.48410034179688,157.59185791015625,3.611938238143921,0.6654130220413208,1.2949321269989014
40,0.016395926475524902,207.42958068847656,5993762304.0,182.18006896972656,213.55694580078125,157.56292724609375,3.604193687438965,0.6594023704528809,1.3029426336288452
41,0.017162485048174858,203.886962890625,5950218240.0,182.11097717285156,212.6717529296875,157.39059448242188,3.6029694080352783,0.6593367457389832,1.311049222946167
42,0.016884353011846542,202.227294921875,5890276352.0,182.74774169921875,211.83062744140625,156.49664306640625,3.6059727668762207,0.6635680794715881,1.3177882432937622
43,0.015333196148276329,202.17654418945312,5730114560.0,183.04403686523438,210.97055053710938,155.45716857910156,3.605724334716797,0.6652105450630188,1.3248348236083984
44,0.015883591026067734,201.33074951171875,5701131264.0,183.05096435546875,210.12635803222656,154.21649169921875,3.604527473449707,0.6655296683311462,1.3313097953796387
45,0.018240759149193764,200.33880615234375,5653009920.0,182.86070251464844,209.3257293701172,153.1268768310547,3.601630687713623,0.6639216542243958,1.337554931640625
46,0.016190094873309135,198.89602661132812,5549343232.0,182.5897674560547,208.5332489013672,152.12939453125,3.5977468490600586,0.6615659594535828,1.3438036441802979
47,0.017068032175302505,197.23104858398438,5509866496.0,182.50335693359375,207.7344970703125,151.28167724609375,3.593855142593384,0.6619023084640503,1.349961757659912
48,0.01627720147371292,195.9042510986328,5538440192.0,182.3064422607422,206.99740600585938,150.5615997314453,3.5891058444976807,0.6648387908935547,1.3567675352096558
