itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.03028698096750304,224.4044647216797,0.44700947403907776,169.61964416503906,207.2798614501953,157.3397979736328,3.773668050765991,0.12118310481309891,2.5725109577178955
2,0.02875158196548,222.99021911621094,0.4490627944469452,169.54615783691406,207.01083374023438,157.32899475097656,3.7704918384552,0.12239581346511841,2.567248582839966
3,0.03030180896166712,221.831787109375,0.45098796486854553,169.48080444335938,206.65235900878906,157.29843139648438,3.7651913166046143,0.12222123146057129,2.562243938446045
4,0.030924983962904662,220.34141540527344,0.453431636095047,169.4126739501953,206.3626708984375,157.29190063476562,3.76027512550354,0.12398108839988708,2.555330991744995
5,0.02947142400080338,218.825439453125,0.4558606743812561,169.34092712402344,206.06735229492188,157.2869415283203,3.7591283321380615,0.12456519901752472,2.549042224884033
6,0.02961667499039322,217.61387634277344,0.4580414891242981,169.26272583007812,205.79080200195312,157.23809814453125,3.7534186840057373,0.12340934574604034,2.5431582927703857
7,0.029169215995352715,215.96670532226562,0.4603719711303711,169.1782684326172,205.49644470214844,157.16943359375,3.750133752822876,0.12508723139762878,2.5359458923339844
8,0.03056842100340873,214.56788635253906,0.4626725912094116,169.11819458007812,205.22433471679688,157.119140625,3.747488498687744,0.12631772458553314,2.527790069580078
9,0.030258285987656564,213.05279541015625,0.4649714231491089,169.04312133789062,204.93966674804688,157.1054229736328,3.741982936859131,0.12478873878717422,2.5225231647491455
10,0.029509334010072052,211.47109985351562,0.46728211641311646,168.95782470703125,204.59397888183594,157.08140563964844,3.7359046936035156,0.12578733265399933,2.5129377841949463
11,0.029878639965318143,209.38829040527344,0.47023114562034607,168.8721160888672,204.28582763671875,157.05856323242188,3.7337350845336914,0.12374542653560638,2.510288953781128
12,0.029339394997805357,208.41226196289062,0.4719364047050476,168.78466796875,204.03546142578125,157.04595947265625,3.7316465377807617,0.12719660997390747,2.500932455062866
13,0.029149456007871777,206.99864196777344,0.47448503971099854,168.68170166015625,203.72210693359375,157.02638244628906,3.727381944656372,0.12481068819761276,2.495070219039917
14,0.03026637900620699,205.35293579101562,0.47715961933135986,168.5921173095703,203.4064178466797,157.01751708984375,3.7222158908843994,0.12284966558218002,2.4879205226898193
15,0.03024333796929568,203.47389221191406,0.47999340295791626,168.48973083496094,203.06454467773438,157.05206298828125,3.7189316749572754,0.11460191756486893,2.4779486656188965
16,0.030013582028914243,200.72412109375,0.4833606779575348,168.37486267089844,202.7509765625,157.02857971191406,3.718474864959717,0.11200340837240219,2.470471143722534
17,0.029517271963413805,199.1421661376953,0.4861138164997101,168.25796508789062,202.51011657714844,156.98170471191406,3.7168941497802734,0.11114346235990524,2.4595119953155518
18,0.029704408021643758,197.19390869140625,0.48926106095314026,168.13067626953125,202.20791625976562,156.95826721191406,3.7163398265838623,0.10480326414108276,2.4558379650115967
19,0.029739824996795505,195.8311309814453,0.491750568151474,168.00030517578125,201.91522216796875,156.9341278076172,3.7128682136535645,0.09867256879806519,2.449671745300293
20,0.02990287699503824,193.88824462890625,0.49490994215011597,167.84764099121094,201.580078125,156.9252166748047,3.711657762527466,0.09439366310834885,2.442748785018921
21,0.030032993003260344,192.16920471191406,0.4979622960090637,167.7216339111328,201.2657470703125,156.907470703125,3.706179141998291,0.09157677739858627,2.4325544834136963
22,0.030325266998261213,189.76199340820312,0.502054750919342,167.60916137695312,200.9667205810547,156.8734893798828,3.7028439044952393,0.0896134153008461,2.422003746032715
23,0.031229170970618725,187.58123779296875,0.5056153535842896,167.50616455078125,200.71969604492188,156.9132537841797,3.697950839996338,0.08858992904424667,2.4101881980895996
24,0.030049239983782172,185.19168090820312,0.5095104575157166,167.40853881835938,200.45944213867188,156.97622680664062,3.695796251296997,0.0852876827120781,2.4014110565185547
25,0.029825072968378663,183.23497009277344,0.5124620199203491,167.31031799316406,200.2003631591797,156.97903442382812,3.696558952331543,0.08202192187309265,2.3907222747802734
26,0.029668074974324554,181.28294372558594,0.5159556269645691,167.23037719726562,199.8876190185547,156.984375,3.695718288421631,0.08186554908752441,2.3770511150360107
27,0.02933840296464041,179.029052734375,0.5199011564254761,167.16009521484375,199.6013946533203,157.0383758544922,3.691439628601074,0.08360057324171066,2.3698837757110596
28,0.02926174399908632,177.59866333007812,0.522429883480072,167.1035919189453,199.30860900878906,157.08206176757812,3.690760612487793,0.08441633731126785,2.3575472831726074
29,0.029582930030301213,175.6556396484375,0.5259994864463806,167.0506591796875,199.01756286621094,157.14260864257812,3.6871426105499268,0.08545512706041336,2.342472553253174
30,0.029185208026319742,173.09754943847656,0.5306336283683777,167.00042724609375,198.7418212890625,157.2012176513672,3.6804609298706055,0.08533348888158798,2.3280277252197266
31,0.029821320029441267,170.26487731933594,0.5345384478569031,166.96893310546875,198.4564971923828,157.2517852783203,3.6787335872650146,0.086426742374897,2.3185482025146484
32,0.02989548002369702,168.68310546875,0.5377791523933411,166.94827270507812,198.190185546875,157.32081604003906,3.6757795810699463,0.08390503376722336,2.312065839767456
33,0.02975520002655685,167.0459442138672,0.540208101272583,166.90164184570312,197.94461059570312,157.40110778808594,3.6740643978118896,0.08551336079835892,2.2996606826782227
34,0.0302613889798522,165.154541015625,0.5442246198654175,166.86558532714844,197.64100646972656,157.44393920898438,3.6737077236175537,0.08850682526826859,2.2840914726257324
35,0.03221255901735276,163.0786895751953,0.5485572218894958,166.8294219970703,197.3969268798828,157.52047729492188,3.6746816635131836,0.08909120410680771,2.275392532348633
36,0.030218940984923393,161.86016845703125,0.5511712431907654,166.79820251464844,197.1595916748047,157.62127685546875,3.6766045093536377,0.08965170383453369,2.2725887298583984
37,0.029697547026444227,161.52320861816406,0.5526923537254333,166.7772674560547,196.9102020263672,157.69732666015625,3.6765809059143066,0.09000159054994583,2.2643685340881348
38,0.02839374402537942,160.25619506835938,0.5559260845184326,166.76295471191406,196.64891052246094,157.7766876220703,3.6737139225006104,0.09558320045471191,2.245537042617798
39,0.030106368009001017,157.86473083496094,0.5614596009254456,166.7488555908203,196.39346313476562,157.90806579589844,3.671922445297241,0.09510479867458344,2.2357637882232666
40,0.030913920025341213,156.1375274658203,0.5649014711380005,166.7397918701172,196.06602478027344,158.01890563964844,3.6711621284484863,0.09780915826559067,2.2259647846221924
41,0.03029602102469653,154.80715942382812,0.568296492099762,166.70010375976562,195.7529296875,158.10389709472656,3.670208692550659,0.09773528575897217,2.2132444381713867
42,0.029123711050488055,152.8392333984375,0.5723307728767395,166.67752075195312,195.4427947998047,158.22491455078125,3.666687250137329,0.09657641500234604,2.206298828125
43,0.0306131019606255,151.23500061035156,0.5755434632301331,166.64816284179688,195.1420440673828,158.33670043945312,3.6633694171905518,0.09629622101783752,2.197070360183716
44,0.03053619700949639,149.47439575195312,0.57882159948349,166.6161651611328,194.83724975585938,158.47413635253906,3.660055160522461,0.09817031025886536,2.1863901615142822
45,0.029514939000364393,147.7644805908203,0.5833829045295715,166.59576416015625,194.54518127441406,158.58297729492188,3.6603353023529053,0.10286939144134521,2.170339822769165
46,0.029587581986561418,146.08328247070312,0.588467001914978,166.57150268554688,194.1646270751953,158.68919372558594,3.6604623794555664,0.10358584672212601,2.1599459648132324
47,0.02981342194834724,144.6215362548828,0.5925149917602539,166.53924560546875,193.84202575683594,158.83392333984375,3.6566824913024902,0.10362979024648666,2.150336265563965
48,0.02922526898328215,142.83189392089844,0.5968902111053467,166.50836181640625,193.55467224121094,158.9540252685547,3.6508336067199707,0.1082693412899971,2.133535385131836
49,0.029437370947562158,140.5313720703125,0.6035172939300537,166.48712158203125,193.23464965820312,159.0773468017578,3.6487820148468018,0.1106102243065834,2.118858575820923
50,0.02926437696442008,138.62063598632812,0.6093283295631409,166.4456329345703,192.92623901367188,159.2129669189453,3.6441283226013184,0.11575878411531448,2.1015090942382812
51,0.02942152804462239,136.5045166015625,0.6164054274559021,166.4121856689453,192.60958862304688,159.35110473632812,3.6388704776763916,0.12001801282167435,2.0877573490142822
52,0.029037899046670645,134.6604461669922,0.6230767369270325,166.37477111816406,192.21043395996094,159.44830322265625,3.632267951965332,0.12613722681999207,2.069298028945923
53,0.030006882967427373,132.37030029296875,0.6316139698028564,166.32192993164062,191.81240844726562,159.57839965820312,3.626091718673706,0.12891335785388947,2.056581497192383
54,0.02981450903462246,130.40557861328125,0.6387072801589966,166.2793731689453,191.36032104492188,159.7030792236328,3.6180639266967773,0.13249965012073517,2.0435190200805664
55,0.028593494032975286,128.29074096679688,0.6472993493080139,166.216796875,190.89710998535156,159.8302001953125,3.6117782592773438,0.1398925483226776,2.0220792293548584
56,0.028915856033563614,125.99292755126953,0.6593348383903503,166.1512451171875,190.45132446289062,159.91029357910156,3.6034040451049805,0.14707538485527039,2.0003716945648193
57,0.03012550197308883,123.53401184082031,0.6722179651260376,166.0906982421875,189.98692321777344,160.02719116210938,3.59047269821167,0.15459205210208893,1.9820914268493652
58,0.02855605399236083,121.00119018554688,0.6853046417236328,166.03689575195312,189.5079803466797,160.11195373535156,3.5798933506011963,0.15915539860725403,1.9639097452163696
59,0.02997736999532208,118.43588256835938,0.6974630951881409,165.97801208496094,189.0943145751953,160.19525146484375,3.5675406455993652,0.16317464411258698,1.94679856300354
60,0.030139345966745168,115.8011474609375,0.7096931338310242,165.9418182373047,188.72361755371094,160.24453735351562,3.555710792541504,0.16806212067604065,1.9268592596054077
