itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.008805058896541595,-0.4057803750038147,3.192906379699707,-0.9521663188934326,1.3098968267440796,158.97181701660156,159.38604736328125,187.06436157226562
1,0.03059864602982998,-0.4065345227718353,3.19661808013916,-0.9362634420394897,1.310613751411438,159.02597045898438,159.45672607421875,187.43533325195312
2,0.02969890460371971,-0.4094943702220917,3.207772970199585,-0.9560703635215759,1.3146780729293823,159.53732299804688,159.5950927734375,187.79638671875
3,0.03026476874947548,-0.4119093716144562,3.2121622562408447,-0.9280997514724731,1.3140203952789307,159.5105438232422,159.67575073242188,188.17039489746094
4,0.031146066263318062,-0.41834911704063416,3.213691234588623,-0.9434094429016113,1.3109383583068848,159.89292907714844,159.7459259033203,188.50357055664062
5,0.030084265395998955,-0.4199351370334625,3.217430591583252,-0.9337710738182068,1.3116874694824219,160.00613403320312,159.82647705078125,188.83486938476562
6,0.029601480811834335,-0.4156287908554077,3.227811098098755,-0.9575904011726379,1.3161239624023438,160.39671325683594,159.9579315185547,189.15194702148438
7,0.02964937686920166,-0.42511093616485596,3.235596179962158,-0.9275790452957153,1.3220665454864502,160.35699462890625,160.0186309814453,189.4947967529297
8,0.03086717426776886,-0.42648348212242126,3.2423324584960938,-0.9448184370994568,1.3246139287948608,160.7402801513672,160.1049346923828,189.7961883544922
9,0.029810167849063873,-0.42543163895606995,3.2420358657836914,-0.9129487872123718,1.3218109607696533,160.65196228027344,160.1669921875,190.10992431640625
10,0.03153310902416706,-0.4312727451324463,3.246922731399536,-0.9222339987754822,1.3214515447616577,160.9375762939453,160.21792602539062,190.41197204589844
11,0.030689073726534843,-0.43287983536720276,3.251721143722534,-0.9402594566345215,1.3191653490066528,161.26165771484375,160.31350708007812,190.69790649414062
12,0.029933949932456017,-0.43281102180480957,3.2547812461853027,-0.9117587208747864,1.32001793384552,161.21987915039062,160.3953399658203,190.98822021484375
13,0.03042149357497692,-0.4400032162666321,3.2609190940856934,-0.9232867360115051,1.321832537651062,161.6037139892578,160.4909210205078,191.246826171875
14,0.030712401494383812,-0.4406198561191559,3.267426013946533,-0.9331229329109192,1.323935866355896,161.89366149902344,160.57327270507812,191.4905548095703
15,0.02971659228205681,-0.4397394061088562,3.270066976547241,-0.9075435400009155,1.3233174085617065,161.7673797607422,160.66946411132812,191.75099182128906
16,0.030994435772299767,-0.44632488489151,3.2764675617218018,-0.9199825525283813,1.323404312133789,162.13156127929688,160.79916381835938,191.99575805664062
17,0.03027561493217945,-0.44749686121940613,3.2787413597106934,-0.9235658645629883,1.3198165893554688,162.37261962890625,160.7830352783203,192.2164306640625
18,0.03128881752490997,-0.4471680521965027,3.281280755996704,-0.9087086319923401,1.3189408779144287,162.39479064941406,160.86117553710938,192.4421844482422
19,0.031082255765795708,-0.4498586654663086,3.28792142868042,-0.9237080216407776,1.3200078010559082,162.7471466064453,160.95040893554688,192.6431427001953
20,0.0300892386585474,-0.4505470097064972,3.290546178817749,-0.9043182134628296,1.3189382553100586,162.70791625976562,161.0024871826172,192.86566162109375
21,0.03093397058546543,-0.4547481834888458,3.2944259643554688,-0.9131330847740173,1.3178596496582031,163.1138153076172,161.06869506835938,193.07273864746094
22,0.03123304434120655,-0.45634764432907104,3.297852039337158,-0.909903347492218,1.3180592060089111,163.2613983154297,161.1685791015625,193.25721740722656
23,0.030237002298235893,-0.4583417773246765,3.3045170307159424,-0.911284863948822,1.317360281944275,163.53250122070312,161.28416442871094,193.4488983154297
24,0.03008440136909485,-0.46071308851242065,3.310555934906006,-0.9067112803459167,1.3198789358139038,163.70135498046875,161.37017822265625,193.6380615234375
25,0.03144499659538269,-0.4612610638141632,3.3208212852478027,-0.9112396836280823,1.323704719543457,163.94659423828125,161.48574829101562,193.82403564453125
26,0.029922541230916977,-0.4624238610267639,3.3203063011169434,-0.891329288482666,1.3224672079086304,164.04405212402344,161.538818359375,194.01220703125
27,0.029959620907902718,-0.4633994996547699,3.322575569152832,-0.8892996907234192,1.3209036588668823,164.16395568847656,161.66009521484375,194.18707275390625
28,0.0310638677328825,-0.4658881723880768,3.3324167728424072,-0.8875831365585327,1.3232653141021729,164.25204467773438,161.79928588867188,194.3630828857422
29,0.030129214748740196,-0.4690944254398346,3.344785213470459,-0.9001797437667847,1.3275827169418335,164.55136108398438,161.94052124023438,194.53460693359375
30,0.029860779643058777,-0.47051000595092773,3.346768379211426,-0.8764329552650452,1.3276913166046143,164.48277282714844,162.04159545898438,194.70445251464844
31,0.030048584565520287,-0.4740327000617981,3.3544464111328125,-0.8716945648193359,1.3300632238388062,164.8472137451172,162.12989807128906,194.88768005371094
32,0.03205331228673458,-0.47817307710647583,3.3619637489318848,-0.8615654706954956,1.331784725189209,165.1222381591797,162.23138427734375,195.05899047851562
33,0.03019791841506958,-0.48018667101860046,3.368823528289795,-0.8572947382926941,1.3313267230987549,165.27305603027344,162.29071044921875,195.24380493164062
34,0.030419081449508667,-0.4824897348880768,3.3769948482513428,-0.8507236242294312,1.3333501815795898,165.37843322753906,162.39866638183594,195.43502807617188
35,0.030402541160583496,-0.48522353172302246,3.3862059116363525,-0.8527639508247375,1.3362038135528564,165.55282592773438,162.4895782470703,195.66111755371094
36,0.031368130818009377,-0.4886421859264374,3.395684003829956,-0.8457048535346985,1.3393663167953491,165.63783264160156,162.59780883789062,195.850830078125
37,0.030471405014395714,-0.49109071493148804,3.403629779815674,-0.8398305773735046,1.339859962463379,165.76651000976562,162.6909637451172,196.04739379882812
38,0.03092189133167267,-0.4939861595630646,3.415736198425293,-0.8465786576271057,1.3423136472702026,165.90501403808594,162.78709411621094,196.24057006835938
39,0.03223038092255592,-0.4955073595046997,3.4232680797576904,-0.842049241065979,1.3416409492492676,165.94131469726562,162.87791442871094,196.38534545898438
40,0.03045438602566719,-0.4973987638950348,3.4315080642700195,-0.8405640721321106,1.3425920009613037,166.016357421875,162.93588256835938,196.54261779785156
41,0.030518949031829834,-0.4999157190322876,3.4390738010406494,-0.8359842896461487,1.3438905477523804,166.1482391357422,163.03941345214844,196.69802856445312
42,0.031140655279159546,-0.5025672316551208,3.4483208656311035,-0.8285562992095947,1.3447238206863403,166.2931365966797,163.15789794921875,196.853271484375
43,0.03130009211599827,-0.5048477649688721,3.4572291374206543,-0.8302314877510071,1.3431090116500854,166.4935302734375,163.28395080566406,197.02655029296875
44,0.030917096883058548,-0.50545734167099,3.465736150741577,-0.8340312838554382,1.3426026105880737,166.55667114257812,163.41172790527344,197.17440795898438
45,0.030784847214818,-0.5080311298370361,3.468550443649292,-0.8232205510139465,1.3380721807479858,166.587646484375,163.50363159179688,197.28167724609375
46,0.03089836798608303,-0.5104002952575684,3.4772024154663086,-0.8183700442314148,1.3372608423233032,166.7437286376953,163.61317443847656,197.4488525390625
47,0.030354199931025505,-0.5125066637992859,3.486140012741089,-0.8234453201293945,1.3371104001998901,166.92823791503906,163.6923065185547,197.6259307861328
48,0.03149791620671749,-0.5140624642372131,3.4928839206695557,-0.8160703778266907,1.3355809450149536,167.00909423828125,163.7940673828125,197.75303649902344
49,0.030845804139971733,-0.5156358480453491,3.499260187149048,-0.8183829188346863,1.3309929370880127,167.1446990966797,163.9090576171875,197.9033966064453
50,0.031495578587055206,-0.5179527997970581,3.50480580329895,-0.8097150921821594,1.3274309635162354,167.2190399169922,164.0275421142578,198.00344848632812
51,0.030701665207743645,-0.5204411149024963,3.5150580406188965,-0.8089773058891296,1.3289425373077393,167.4049072265625,164.1197052001953,198.15390014648438
